MAINLAND CHINA,Cases,Deaths,Notes,Links
Hubei province (including Wuhan),"22,112",619*,"3,161 serious, 841 critical",http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200207_2020605.shtml
Guangdong province,"1,034",1,"85 serious, 34 critical",https://m.weibo.cn/status/4469364353005712
Zhejiang province,"1,006",0,"51 serious, 21 critical",https://www.zjwjw.gov.cn/art/2020/2/7/art_1202101_41884591.html
Henan province,914,3,"48 serious, 27 critical",https://m.weibo.cn/status/4469249072410401
Hunan province,772,0,57 serious,http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200207_11172443.html
Anhui province,665,0,6 critical,http://wjw.ah.gov.cn/news_details_54633.html
Jiangxi province,661,0,58 serious ,http://hc.jiangxi.gov.cn/doc/2020/02/07/138280.shtml
Chongqing,415,2,"29 serious, 16 critical",http://wsjkw.cq.gov.cn/tzgg/20200207/252526.html
Jiangsu province,408,0,"4 serious, 1 critical",https://m.weibo.cn/detail/4469251446311101
Shandong province,386,0,"22 serious, 6 critical",https://m.weibo.cn/detail/4469354667827012
Sichuan province,345*,1,19 critical,https://m.weibo.cn/detail/4469247143303181
Beijing,297,1,1+ critical,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200207_1626156.html
Shanghai,277,1,"10 serious, 8 critical",https://m.weibo.cn/detail/4469328320084298
Heilongjiang province,277,3,28 serious,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7761/navid/42/stypeid/
Fujian province,224,0,"11 serious, 8 critical",https://mp.weixin.qq.com/s/yBdkYERlK63TE-zfUHxc9w?url=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FyBdkYERlK63TE-zfUHxc9w&share_menu=1&sinainternalbrowser=topnav&mid=4469327715781894&luicode=10000011&lfid=1076035253085658&u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FyBdkYERlK63TE-zfUHxc9w&url=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FyBdkYERlK63TE-zfUHxc9w&share_menu=1&sinainternalbrowser=topnav&mid=4469327715781894&luicode=10000011&lfid=1076035253085658&u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FyBdkYERlK63TE-zfUHxc9w%3Furl%3Dhttps%253A%252F%252Fmp.weixin.qq.com%252Fs%252FyBdkYERlK63TE-zfUHxc9w%26share_menu%3D1%26sinainternalbrowser%3Dtopnav%26mid%3D4469327715781894%26luicode%3D10000011%26lfid%3D1076035253085658%26u%3Dhttps%253A%252F%252Fmp.weixin.qq.com%252Fs%252FyBdkYERlK63TE-zfUHxc9w
Shaanxi province,184,0,1+ serious,http://sxwjw.shaanxi.gov.cn/art/2020/2/7/art_9_67829.html
Guangxi Region,172,0,"9 serious, 6 critical",http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0207/68495.html
Hebei province,171,1,14 serious,http://www.hebwst.gov.cn/index.do?id=397290&templet=content&cid=14
Yunnan province,136,0,"15 serious, 3 critical",https://m.weibo.cn/status/4469350817733246?
Hainan province,115,2,15 serious,https://m.weibo.cn/detail/4469320409139576
Shanxi province,96,0,"6 serious, 4 critical",http://wjw.shanxi.gov.cn/wjywl02/24739.hrh
Liaoning province,95,0,"7 serious, 1 critical",https://m.weibo.cn/status/4469350314408565?
Tianjin,81,1,"28 serious, 7 critical",https://m.weibo.cn/detail/4469274200004826
Guizhou province,81,1,"7 serious, 3 critical",https://m.weibo.cn/status/4469399735739271
Gansu province,67,0,"5 serious, 3 critical",http://www.bjnews.com.cn/feature/2020/02/07/685653.html
Jilin province,65,1,"3 serious, 1 critical",https://m.weibo.cn/detail/4469241828347179
Inner Mongolia,50,0,,http://wjw.nmg.gov.cn/doc/2020/02/07/290979.shtml
Ningxia Region,43,0,1 serious,http://wsjkw.nx.gov.cn/info/1140/13613.htm
Xinjiang,39,0,"7 serious, 2 critical",http://www.xjhfpc.gov.cn/info/1495/18101.htm
Qinghai province,18,0,1 serious,https://m.weibo.cn/status/4468903075418422
Tibet,1,0,Stable,http://www.nhc.gov.cn/yjb/s7860/202001/e71bd2e7a0824ca69f87bbf1bef2a3c9.shtml
TOTAL,"31,207",637,"4,821 serious1,540 recovered26,359 suspected",
REGIONS,Cases,Deaths,Notes,Links
Hong Kong,25,1,,https://news.rthk.hk/rthk/en/component/k2/1507278-20200207.htm
Taiwan,16,0,1 recovered,https://www.cna.com.tw/news/firstnews/202002065014.aspx
Macau,10,0,,https://news.gov.mo/detail/zh-hant/N20BDPAzBd?3
TOTAL,51,1,0 serious,
INTERNATIONAL,Cases,Deaths,Notes,Links
Japan,86*,0,4 recovered,https://www.mhlw.go.jp/stf/newpage_09340.html
Singapore,33,0,"2 critical, 2 recovered",https://www.moh.gov.sg/news-highlights/details/three-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
Thailand,25,0,"1 serious, 9 recovered",https://www.bangkokpost.com/thailand/general/1851149/first-local-virus-patient-cured
South Korea,24,0,1 recovered,https://www.yna.co.kr/view/AKR20200207031851004?section=society/all
Australia,15,0,5 recovered,https://www.health.gov.au/news/coronavirus-update-at-a-glance
Malaysia,15,0,"14 stable, 1 recovered",https://twitter.com/KKMPutrajaya/status/1225690059434627072
Germany,13,0,,https://www.stmgp.bayern.de/presse/aktuelle-informationen-zur-coronavirus-lage-in-bayern-bayerisches-gesundheitsministerium-13/
United States,12,0,1 recovered,https://wtmj.com/news/2020/02/05/first-wisconsin-coronavirus-case-confirmed/
Vietnam,12,0,3 recovered,https://vietnamnet.vn/vn/suc-khoe/suc-khoe-24h/viet-nam-them-2-ca-duong-tinh-virus-corona-deu-la-nguoi-than-nu-cong-nhan-ve-tu-vu-han-613719.html
Canada,7,0,,https://news.gov.bc.ca/releases/2020HLTH0025-000236
France,6,0,1 serious,https://www.francetvinfo.fr/sante/maladie/coronavirus/coronavirus-2019-ncov-les-six-cas-confirmes-en-france-sont-dans-un-etat-stable-selon-le-directeur-general-de-la-sante_3811051.html
UAE,5,0,Stable,https://www.wam.ae/en/details/1395302820367
United Kingdom,3,0,,https://www.gov.uk/government/news/cmo-confirms-third-case-of-coronavirus-in-england
Philippines,3,1,,https://www.youtube.com/watch?v=_pIluXrMHCk
India,3,0,Stable,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601681
Italy,3,0,2 serious,https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2020/02/03/coronavirus-accertamenti-su-italiano-alla-cecchignola-_b20da9f2-57a5-4870-978f-23e9c50d6155.html
Russia,2,0,,https://tass.ru/obschestvo/7656549
Nepal,1,0,,https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Cambodia,1,0,1 recovered,https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka,1,0,1 recovered,https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Finland,1,0,1 recovered,https://yle.fi/uutiset/osasto/news/finlands_first_coronavirus_patient_released_from_hospital_symptom-free/11193661
Sweden,1,0,,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/januari/bekraftat-fall-av-nytt-coronavirus-i-sverige/
Spain,1,0,,https://www.antena3.com/noticias/sociedad/confirmado-caso-coronavirus-gomera_202001315e34a9380cf2cfb788f47b07.html
Belgium,1,0,,https://www.info-coronavirus.be/nl/2020/02/04/gerepatrieerde-landgenoot-testte-positief-op-het-nieuwe-coronavirus/
TOTAL,274,1,5 serious/critical,
