,Mainland China,Others,Singapore,Thailand,Hong Kong,Japan,South Korea,Taiwan,Malaysia,Germany,Vietnam,France,Macau,United Arab Emirates,Australia,Canada,India,Italy,Philippines,UK,Russia,US,Belgium,Cambodia,Finland,Nepal,Spain,Sri Lanka,Sweden,Ivory Coast,Mexico,Brazil,Colombia,China,United States
02/08,37198,61,40,32,26,25,25,17,16,13,13,11,10,7,15,7,3,3,3,3,2,12,1,1,1,1,1,1,1,0,0,0,0,0,0
02/07,31215,61,30,25,25,25,24,16,12,13,10,6,10,5,15,7,3,3,3,3,2,12,1,1,1,1,1,1,1,0,0,0,0,0,0
02/06,30612,0,28,25,24,45,23,16,12,12,10,6,10,5,14,5,3,2,2,2,2,12,1,1,1,1,1,1,1,0,0,0,0,0,0
02/05,24405,0,28,25,21,22,19,11,12,12,8,6,10,5,13,4,3,2,2,2,2,11,1,1,1,1,1,1,1,0,0,0,0,0,0
02/04,24290,0,24,25,18,22,16,11,10,12,8,6,10,5,13,4,3,2,2,2,2,11,1,1,1,1,1,1,1,0,0,0,0,0,0
02/03,20400,0,18,19,15,20,15,10,8,12,8,6,8,5,12,4,3,2,2,2,2,11,0,1,1,1,1,1,1,0,0,0,0,0,0
02/02,17114,0,18,19,15,20,15,10,8,10,6,6,8,5,12,4,2,2,2,2,2,9,0,1,1,1,1,1,1,0,0,0,0,0,0
02/01,14375,0,18,19,14,20,15,10,8,8,6,6,7,4,12,4,1,2,2,2,2,8,0,1,1,1,1,1,1,0,0,0,0,0,0
01/31,9783,0,13,19,12,15,11,10,8,5,2,5,7,4,9,3,1,2,1,2,2,7,0,1,1,1,0,1,1,0,0,0,0,0,0
01/30,9658,0,10,14,12,11,6,9,8,4,2,5,7,4,9,3,1,2,1,0,0,6,0,1,1,1,0,1,0,0,0,0,0,0,0
01/29,7678,0,10,14,10,11,4,8,7,4,2,5,7,4,7,3,0,0,0,0,0,5,0,1,1,1,0,1,0,0,0,0,0,0,0
01/28,5970,0,7,14,8,7,4,8,7,4,2,4,7,0,5,2,0,0,0,0,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0
01/27,4409,0,5,8,8,4,4,5,4,1,2,3,6,0,5,1,0,0,0,0,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0
01/26,2737,0,4,8,8,4,3,4,4,0,2,3,6,0,4,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
01/25,1979,0,3,7,5,2,3,3,3,0,2,3,2,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
01/24,916,0,3,5,2,2,2,3,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/23,639,0,1,3,2,1,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/22,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,549,0
